   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	       3.262094	           0.02
          0.002	       4.703811	           0.04
          0.003	       7.612127	           0.06
          0.004	        10.5052	           0.08
          0.005	       13.40925	            0.1
          0.006	        16.3048	           0.12
          0.007	       19.09741	           0.14
          0.008	       21.10535	           0.16
          0.009	       22.95336	           0.18
           0.01	       24.80189	            0.2
          0.011	       26.65951	           0.22
          0.012	       28.51556	           0.24
          0.013	       30.36632	           0.26
          0.014	       32.23356	           0.28
          0.015	       34.07779	            0.3
          0.016	       35.92367	           0.32
          0.017	         37.772	           0.34
          0.018	       39.61512	           0.36
          0.019	       41.46286	           0.38
           0.02	       43.30554	            0.4
          0.021	       45.15361	           0.42
          0.022	       46.99697	           0.44
          0.023	       48.84786	           0.46
          0.024	       50.69238	           0.48
          0.025	       52.53753	            0.5
          0.026	       54.38193	           0.52
          0.027	       56.22901	           0.54
          0.028	       58.09135	           0.56
          0.029	       59.93459	           0.58
           0.03	       61.78349	            0.6
          0.031	       63.62599	           0.62
          0.032	       65.47404	           0.64
          0.033	       67.31967	           0.66
          0.034	       69.16603	           0.68
          0.035	       71.01274	            0.7
          0.036	       72.86079	           0.72
          0.037	       74.70544	           0.74
          0.038	       76.54877	           0.76
          0.039	       78.39923	           0.78
           0.04	       80.24778	            0.8
          0.041	       82.09779	           0.82
          0.042	       83.94368	           0.84
          0.043	       85.79245	           0.86
          0.044	       87.63934	           0.88
          0.045	       89.48792	            0.9
          0.046	       91.33541	           0.92
          0.047	       93.18016	           0.94
          0.048	       95.02644	           0.96
          0.049	       96.87407	           0.98
           0.05	       98.72223	              1
          0.051	       100.5656	              1
          0.052	       102.4208	              1
          0.053	       104.2637	            1.1
          0.054	       106.1109	            1.1
          0.055	       107.9569	            1.1
          0.056	       109.8076	            1.1
          0.057	       111.6471	            1.1
          0.058	       113.4852	            1.2
          0.059	       115.3206	            1.2
           0.06	        117.168	            1.2
          0.061	       119.0185	            1.2
          0.062	       120.8549	            1.2
          0.063	       122.6943	            1.3
          0.064	       124.5319	            1.3
          0.065	       126.3727	            1.3
          0.066	       128.2248	            1.3
          0.067	       130.0716	            1.3
          0.068	       131.9279	            1.4
          0.069	       133.7769	            1.4
           0.07	       135.6245	            1.4
          0.071	       137.4687	            1.4
          0.072	       139.3147	            1.4
          0.073	       141.1575	            1.5
          0.074	       143.0041	            1.5
          0.075	       144.8484	            1.5
          0.076	       146.6924	            1.5
          0.077	       148.5396	            1.5
          0.078	       150.3882	            1.6
          0.079	       152.2371	            1.6
           0.08	       154.0807	            1.6
          0.081	       155.9293	            1.6
          0.082	       157.7747	            1.6
          0.083	       159.6233	            1.7
          0.084	       161.4699	            1.7
          0.085	       163.1243	            1.7
          0.086	       163.2632	            1.7
          0.087	       163.2916	            1.7
          0.088	       163.3147	            1.8
          0.089	       163.3406	            1.8
           0.09	       164.3704	            1.8
          0.091	       164.4494	            1.8
          0.092	       164.5245	            1.8
          0.093	        164.571	            1.9
          0.094	       164.6314	            1.9
          0.095	       164.7666	            1.9
          0.096	        164.863	            1.9
          0.097	       164.9461	            1.9
          0.098	       164.9836	              2
          0.099	        165.057	              2
            0.1	       165.7721	              2
          0.101	       165.8252	              2
          0.102	       165.8508	              2
          0.103	       166.2594	            2.1
          0.104	       166.3572	            2.1
          0.105	       166.9082	            2.1
          0.106	       167.0122	            2.1
          0.107	        167.234	            2.1
          0.108	       167.2645	            2.2
          0.109	       167.5219	            2.2
           0.11	        167.806	            2.2
          0.111	       168.0229	            2.2
          0.112	       168.0742	            2.2
          0.113	       168.2875	            2.3
          0.114	       168.3587	            2.3
          0.115	       168.6253	            2.3
          0.116	       168.6988	            2.3
          0.117	       168.9267	            2.3
          0.118	       168.9665	            2.4
          0.119	       169.2226	            2.4
           0.12	       169.4846	            2.4
          0.121	       169.6958	            2.4
          0.122	       169.7252	            2.4
          0.123	       169.9329	            2.5
          0.124	       170.0174	            2.5
          0.125	       170.2978	            2.5
          0.126	       170.3711	            2.5
          0.127	       170.5865	            2.5
          0.128	       170.6266	            2.6
          0.129	        170.886	            2.6
           0.13	       171.1387	            2.6
          0.131	       171.3539	            2.6
          0.132	       171.3835	            2.6
          0.133	       171.6094	            2.7
          0.134	       171.6911	            2.7
          0.135	       171.9547	            2.7
          0.136	       172.0272	            2.7
          0.137	       172.2451	            2.7
          0.138	       172.2853	            2.8
          0.139	       172.5463	            2.8
           0.14	       172.8058	            2.8
          0.141	       173.0296	            2.8
          0.142	       173.0607	            2.8
          0.143	        173.274	            2.9
          0.144	       173.3475	            2.9
          0.145	       173.6161	            2.9
          0.146	       173.7021	            2.9
          0.147	       173.9129	            2.9
          0.148	       173.9529	              3
          0.149	       174.2041	              3
           0.15	       174.4074	              3
          0.151	        174.621	              3
          0.152	       174.6502	              3
          0.153	       174.8748	            3.1
          0.154	       174.9502	            3.1
          0.155	       175.2108	            3.1
          0.156	       175.2915	            3.1
          0.157	        175.506	            3.1
          0.158	       175.5464	            3.2
          0.159	       175.8002	            3.2
           0.16	       176.0606	            3.2
          0.161	       176.2763	            3.2
          0.162	       176.3152	            3.2
          0.163	        176.523	            3.3
          0.164	       176.5955	            3.3
          0.165	       176.8562	            3.3
          0.166	       176.9307	            3.3
          0.167	       177.1434	            3.3
          0.168	       177.1828	            3.4
          0.169	       177.4367	            3.4
           0.17	       177.7008	            3.4
          0.171	       177.9109	            3.4
          0.172	       177.9506	            3.4
          0.173	       178.1741	            3.5
          0.174	       178.2473	            3.5
          0.175	       178.5115	            3.5
          0.176	       178.5976	            3.5
          0.177	       178.8201	            3.5
          0.178	       178.8501	            3.6
          0.179	       179.1106	            3.6
           0.18	       179.3681	            3.6
          0.181	        179.593	            3.6
          0.182	        179.622	            3.6
          0.183	       179.8441	            3.7
          0.184	       179.9381	            3.7
          0.185	       180.2023	            3.7
          0.186	       180.2793	            3.7
          0.187	       180.4888	            3.7
          0.188	       180.5284	            3.8
          0.189	       180.7872	            3.8
           0.19	       181.0438	            3.8
          0.191	        181.258	            3.8
          0.192	       181.2875	            3.8
          0.193	       181.4968	            3.9
          0.194	       181.5749	            3.9
          0.195	       181.8368	            3.9
          0.196	       181.9152	            3.9
          0.197	       182.1252	            3.9
          0.198	       182.1661	              4
          0.199	        182.418	              4
            0.2	       182.6746	              4
          0.201	       182.8913	              4
          0.202	       182.9438	              4
          0.203	       183.1572	            4.1
          0.204	       183.2491	            4.1
          0.205	       183.5109	            4.1
          0.206	       183.5876	            4.1
          0.207	       183.8037	            4.1
          0.208	       183.8327	            4.2
          0.209	        184.086	            4.2
           0.21	       184.3457	            4.2
          0.211	       184.5668	            4.2
          0.212	        184.596	            4.2
          0.213	       184.8048	            4.3
          0.214	       184.8882	            4.3
          0.215	       185.1514	            4.3
          0.216	       185.2393	            4.3
          0.217	       185.4534	            4.3
          0.218	       185.4926	            4.4
          0.219	       185.7485	            4.4
           0.22	        186.007	            4.4
          0.221	       186.2296	            4.4
          0.222	       186.2693	            4.4
          0.223	       186.4823	            4.5
          0.224	       186.5546	            4.5
          0.225	       186.8178	            4.5
          0.226	       186.8861	            4.5
          0.227	       187.1122	            4.5
          0.228	       187.1431	            4.6
          0.229	       187.3926	            4.6
           0.23	       187.6465	            4.6
          0.231	       187.8682	            4.6
          0.232	        187.929	            4.6
          0.233	       188.1432	            4.7
          0.234	       188.2137	            4.7
          0.235	       188.4773	            4.7
