   Simtime [s] 	   Realtime [s]	 Percentage [%]
           0.06	       0.355619	              3
           0.12	        0.44763	              6
           0.18	       0.481003	              9
           0.24	       0.530683	             12
            0.3	       0.565079	             15
           0.36	       0.609039	             18
           0.42	       0.643128	             21
           0.48	       0.676565	             24
           0.54	       0.711756	             27
            0.6	       0.746293	             30
           0.66	       0.812422	             33
           0.72	       0.885044	             36
           0.78	       0.957499	             39
           0.84	       1.030182	             42
            0.9	       1.102498	             45
           0.96	       1.174911	             48
          1.021	        1.24872	             51
          1.081	       1.322971	             54
          1.141	       1.395511	             57
          1.201	       1.468171	             60
          1.261	       1.540627	             63
          1.321	       1.613066	             66
          1.381	       1.685307	             69
          1.441	       1.757655	             72
1.5009999999999	       1.839957	             75
1.5609999999999	       1.904515	             78
1.6209999999999	       1.978369	             81
1.6809999999999	        2.05083	             84
1.7409999999999	       2.123217	             87
1.8009999999999	        2.19717	             90
1.8609999999999	       2.270767	             93
1.9209999999999	        2.34443	             96
1.9809999999999	       2.416781	             99
1.9999999999999	       2.439719	          1e+02
