   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	     0.09383404	           0.02
          0.002	       0.127258	           0.04
          0.003	      0.2097058	           0.06
          0.004	      0.2978382	           0.08
          0.005	      0.3771907	            0.1
          0.006	      0.4595236	           0.12
          0.007	      0.5324681	           0.14
          0.008	      0.5899915	           0.16
          0.009	      0.6424787	           0.18
           0.01	      0.6942404	            0.2
          0.011	      0.7460771	           0.22
          0.012	      0.7982711	           0.24
          0.013	      0.8469072	           0.26
          0.014	      0.8964316	           0.28
          0.015	      0.9469348	            0.3
          0.016	       1.007515	           0.32
          0.017	       1.058843	           0.34
          0.018	       1.111146	           0.36
          0.019	       1.162521	           0.38
           0.02	       1.213121	            0.4
          0.021	       1.265422	           0.42
          0.022	       1.317841	           0.44
          0.023	       1.367773	           0.46
          0.024	       1.423216	           0.48
          0.025	       1.483658	            0.5
          0.026	       1.535193	           0.52
          0.027	       1.584122	           0.54
          0.028	       1.634584	           0.56
          0.029	       1.683571	           0.58
           0.03	       1.733396	            0.6
          0.031	       1.785603	           0.62
          0.032	       1.837729	           0.64
          0.033	       1.892841	           0.66
          0.034	       1.945908	           0.68
          0.035	       2.000864	            0.7
          0.036	       2.051024	           0.72
          0.037	       2.102105	           0.74
          0.038	       2.155069	           0.76
          0.039	       2.206177	           0.78
           0.04	       2.257548	            0.8
          0.041	       2.307032	           0.82
          0.042	       2.357669	           0.84
          0.043	       2.409078	           0.86
          0.044	       2.459628	           0.88
          0.045	       2.510042	            0.9
          0.046	       2.562913	           0.92
          0.047	       2.613264	           0.94
          0.048	       2.664968	           0.96
          0.049	       2.717007	           0.98
           0.05	        2.77027	              1
          0.051	       2.825402	              1
          0.052	        2.87755	              1
          0.053	       2.930894	            1.1
          0.054	        2.98636	            1.1
          0.055	       3.040385	            1.1
          0.056	       3.092501	            1.1
          0.057	        3.14468	            1.1
          0.058	       3.195088	            1.2
          0.059	       3.252828	            1.2
           0.06	       3.312872	            1.2
          0.061	       3.365012	            1.2
          0.062	       3.416671	            1.2
          0.063	       3.466599	            1.3
          0.064	       3.516526	            1.3
          0.065	       3.570279	            1.3
          0.066	       3.618743	            1.3
          0.067	       3.670872	            1.3
          0.068	       3.720844	            1.4
          0.069	        3.77216	            1.4
           0.07	       3.824777	            1.4
          0.071	       3.875386	            1.4
          0.072	       3.924683	            1.4
          0.073	       3.975712	            1.5
          0.074	       4.027242	            1.5
          0.075	       4.077644	            1.5
          0.076	       4.129091	            1.5
          0.077	       4.181541	            1.5
          0.078	       4.233794	            1.6
          0.079	       4.285971	            1.6
           0.08	        4.33821	            1.6
          0.081	       4.389021	            1.6
          0.082	        4.44093	            1.6
          0.083	       4.489521	            1.7
          0.084	       4.541278	            1.7
          0.085	       4.586667	            1.7
          0.086	       4.590867	            1.7
          0.087	       4.597237	            1.7
          0.088	       4.606566	            1.8
          0.089	       4.614208	            1.8
           0.09	       4.648298	            1.8
          0.091	       4.653943	            1.8
          0.092	       4.665547	            1.8
          0.093	       4.673838	            1.9
          0.094	       4.680027	            1.9
          0.095	       4.688349	            1.9
          0.096	       4.695416	            1.9
          0.097	       4.700045	            1.9
          0.098	       4.704954	              2
          0.099	       4.712311	              2
            0.1	       4.734829	              2
          0.101	       4.742253	              2
          0.102	       4.748626	              2
          0.103	       4.762425	            2.1
          0.104	       4.771341	            2.1
          0.105	       4.789009	            2.1
          0.106	       4.797356	            2.1
          0.107	       4.802637	            2.1
          0.108	       4.810531	            2.2
          0.109	       4.817923	            2.2
           0.11	       4.832991	            2.2
          0.111	       4.844038	            2.2
          0.112	       4.850965	            2.2
          0.113	        4.85905	            2.3
          0.114	       4.865284	            2.3
          0.115	       4.878757	            2.3
          0.116	       4.885617	            2.3
          0.117	        4.89231	            2.3
          0.118	       4.895829	            2.4
          0.119	       4.903362	            2.4
           0.12	       4.924811	            2.4
          0.121	       4.931956	            2.4
          0.122	       4.938672	            2.4
          0.123	       4.945457	            2.5
          0.124	       4.950853	            2.5
          0.125	       4.966949	            2.5
          0.126	       4.976879	            2.5
          0.127	        4.98293	            2.5
          0.128	       4.991837	            2.6
          0.129	       4.999555	            2.6
           0.13	       5.011409	            2.6
          0.131	       5.016044	            2.6
          0.132	       5.021877	            2.6
          0.133	       5.033996	            2.7
          0.134	       5.041585	            2.7
          0.135	       5.057323	            2.7
          0.136	       5.066565	            2.7
          0.137	       5.074202	            2.7
          0.138	       5.083646	            2.8
          0.139	       5.093332	            2.8
           0.14	       5.114135	            2.8
          0.141	       5.124369	            2.8
          0.142	       5.133423	            2.8
          0.143	       5.142677	            2.9
          0.144	       5.158808	            2.9
          0.145	       5.171826	            2.9
          0.146	       5.180621	            2.9
          0.147	       5.190387	            2.9
          0.148	       5.198603	              3
          0.149	        5.20716	              3
           0.15	       5.216147	              3
          0.151	       5.224919	              3
          0.152	       5.233546	              3
          0.153	       5.238542	            3.1
          0.154	       5.246975	            3.1
          0.155	       5.253862	            3.1
          0.156	       5.264011	            3.1
          0.157	       5.270954	            3.1
          0.158	       5.279291	            3.2
          0.159	       5.289982	            3.2
           0.16	        5.29726	            3.2
          0.161	       5.309923	            3.2
          0.162	       5.315402	            3.2
          0.163	       5.324198	            3.3
          0.164	       5.333851	            3.3
          0.165	       5.345886	            3.3
          0.166	       5.354162	            3.3
          0.167	       5.362681	            3.3
          0.168	       5.371401	            3.4
          0.169	       5.378978	            3.4
           0.17	       5.395872	            3.4
          0.171	       5.405493	            3.4
          0.172	       5.414858	            3.4
          0.173	       5.426888	            3.5
          0.174	       5.437633	            3.5
          0.175	       5.447062	            3.5
          0.176	       5.455828	            3.5
          0.177	        5.46286	            3.5
          0.178	       5.468963	            3.6
          0.179	       5.476524	            3.6
           0.18	       5.487519	            3.6
          0.181	        5.49614	            3.6
          0.182	       5.505871	            3.6
          0.183	       5.512626	            3.7
          0.184	        5.52589	            3.7
          0.185	       5.538117	            3.7
          0.186	       5.545423	            3.7
          0.187	       5.555359	            3.7
          0.188	       5.560572	            3.8
          0.189	       5.568612	            3.8
           0.19	       5.588892	            3.8
          0.191	       5.595657	            3.8
          0.192	        5.60298	            3.8
          0.193	       5.612868	            3.9
          0.194	       5.619217	            3.9
          0.195	       5.628969	            3.9
          0.196	       5.637014	            3.9
          0.197	       5.646695	            3.9
          0.198	       5.650471	              4
          0.199	       5.665456	              4
            0.2	       5.672889	              4
          0.201	       5.683286	              4
          0.202	        5.69164	              4
          0.203	       5.701081	            4.1
          0.204	       5.712714	            4.1
          0.205	        5.72681	            4.1
          0.206	        5.73222	            4.1
          0.207	       5.739141	            4.1
          0.208	       5.746419	            4.2
          0.209	       5.752087	            4.2
           0.21	       5.768006	            4.2
          0.211	       5.774704	            4.2
          0.212	       5.780283	            4.2
          0.213	       5.787255	            4.3
          0.214	       5.798127	            4.3
          0.215	        5.81013	            4.3
          0.216	       5.820416	            4.3
          0.217	       5.833944	            4.3
          0.218	       5.838131	            4.4
          0.219	       5.845971	            4.4
           0.22	       5.856058	            4.4
          0.221	       5.861831	            4.4
          0.222	       5.867829	            4.4
          0.223	       5.883016	            4.5
          0.224	       5.900797	            4.5
          0.225	        5.91099	            4.5
          0.226	       5.923007	            4.5
          0.227	       5.932133	            4.5
          0.228	       5.939313	            4.6
          0.229	       5.946643	            4.6
           0.23	       5.962765	            4.6
          0.231	       5.972325	            4.6
          0.232	       5.982382	            4.6
          0.233	       5.999373	            4.7
          0.234	       6.011139	            4.7
          0.235	       6.024603	            4.7
          0.236	       6.030189	            4.7
          0.237	       6.039283	            4.7
          0.238	       6.048663	            4.8
          0.239	       6.055883	            4.8
           0.24	       6.067789	            4.8
          0.241	       6.075831	            4.8
          0.242	       6.086795	            4.8
          0.243	       6.098838	            4.9
          0.244	       6.109259	            4.9
          0.245	       6.126523	            4.9
          0.246	       6.135164	            4.9
          0.247	       6.144919	            4.9
          0.248	       6.155314	              5
          0.249	       6.163748	              5
           0.25	       6.177962	              5
          0.251	       6.190658	              5
          0.252	       6.199053	              5
          0.253	       6.206137	            5.1
          0.254	       6.214947	            5.1
          0.255	       6.225378	            5.1
          0.256	       6.227714	            5.1
          0.257	       6.235021	            5.1
          0.258	       6.245543	            5.2
          0.259	       6.252172	            5.2
           0.26	       6.267435	            5.2
          0.261	       6.274778	            5.2
          0.262	       6.281454	            5.2
          0.263	       6.289025	            5.3
          0.264	       6.297374	            5.3
          0.265	       6.305533	            5.3
          0.266	       6.315385	            5.3
          0.267	       6.321177	            5.3
          0.268	       6.327493	            5.4
          0.269	       6.335135	            5.4
           0.27	       6.346395	            5.4
          0.271	       6.353588	            5.4
          0.272	       6.362107	            5.4
          0.273	       6.374112	            5.5
          0.274	       6.382527	            5.5
          0.275	       6.395313	            5.5
          0.276	       6.405475	            5.5
          0.277	       6.416705	            5.5
          0.278	       6.424257	            5.6
          0.279	       6.431183	            5.6
           0.28	       6.443983	            5.6
          0.281	        6.45716	            5.6
          0.282	       6.464145	            5.6
          0.283	       6.472976	            5.7
          0.284	        6.48459	            5.7
          0.285	       6.492119	            5.7
          0.286	       6.502411	            5.7
          0.287	       6.509832	            5.7
          0.288	       6.523813	            5.8
          0.289	       6.529334	            5.8
           0.29	        6.54289	            5.8
          0.291	       6.549564	            5.8
          0.292	       6.558423	            5.8
          0.293	       6.566276	            5.9
          0.294	       6.575121	            5.9
          0.295	       6.586921	            5.9
          0.296	       6.601812	            5.9
          0.297	       6.614482	            5.9
          0.298	       6.623254	              6
          0.299	       6.638927	              6
            0.3	       6.649037	              6
          0.301	       6.658665	              6
          0.302	         6.6675	              6
          0.303	       6.677686	            6.1
          0.304	       6.687524	            6.1
          0.305	       6.707575	            6.1
          0.306	       6.714837	            6.1
          0.307	       6.723822	            6.1
          0.308	       6.731582	            6.2
          0.309	       6.743614	            6.2
           0.31	       6.765737	            6.2
          0.311	       6.774582	            6.2
          0.312	       6.781553	            6.2
          0.313	       6.791814	            6.3
          0.314	         6.7977	            6.3
          0.315	       6.809829	            6.3
          0.316	       6.819627	            6.3
          0.317	       6.830295	            6.3
          0.318	       6.839731	            6.4
          0.319	       6.848285	            6.4
           0.32	       6.856746	            6.4
          0.321	       6.864151	            6.4
          0.322	       6.871463	            6.4
          0.323	       6.883617	            6.5
          0.324	       6.893578	            6.5
          0.325	       6.903278	            6.5
          0.326	       6.912521	            6.5
          0.327	       6.920895	            6.5
          0.328	       6.930136	            6.6
          0.329	       6.938787	            6.6
           0.33	       6.950725	            6.6
          0.331	       6.960063	            6.6
          0.332	        6.96887	            6.6
          0.333	       6.983382	            6.7
