Time [s]      	Steps     	StepSize [s]  	AlgorithmCalls    	ErrorTestFails    	ConvergenceFails  	Iterations  	IterLimitExceeded 	FMUErrors   	ErrorNormRichardson	ErrorNormSlopeCheck
0.001         	1         	0.001         	1                 	0                 	0                 	1           	0                 	0           	1                 	1                 	
0.002         	2         	0.001         	2                 	0                 	0                 	2           	0                 	0           	1                 	1                 	
0.003         	3         	0.001         	3                 	0                 	0                 	3           	0                 	0           	1                 	1                 	
0.004         	4         	0.001         	4                 	0                 	0                 	4           	0                 	0           	1                 	1                 	
0.005         	5         	0.001         	5                 	0                 	0                 	5           	0                 	0           	1                 	1                 	
0.006         	6         	0.001         	6                 	0                 	0                 	6           	0                 	0           	1                 	1                 	
0.007         	7         	0.001         	7                 	0                 	0                 	7           	0                 	0           	1                 	1                 	
0.008         	8         	0.001         	8                 	0                 	0                 	8           	0                 	0           	1                 	1                 	
0.009         	9         	0.001         	9                 	0                 	0                 	9           	0                 	0           	1                 	1                 	
0.01          	10        	0.001         	10                	0                 	0                 	10          	0                 	0           	1                 	1                 	
0.011         	11        	0.001         	11                	0                 	0                 	11          	0                 	0           	1                 	1                 	
0.012         	12        	0.001         	12                	0                 	0                 	12          	0                 	0           	1                 	1                 	
0.013         	13        	0.001         	13                	0                 	0                 	13          	0                 	0           	1                 	1                 	
0.014         	14        	0.001         	14                	0                 	0                 	14          	0                 	0           	1                 	1                 	
0.015         	15        	0.001         	15                	0                 	0                 	15          	0                 	0           	1                 	1                 	
0.016         	16        	0.001         	16                	0                 	0                 	16          	0                 	0           	1                 	1                 	
0.017         	17        	0.001         	17                	0                 	0                 	17          	0                 	0           	1                 	1                 	
0.018         	18        	0.001         	18                	0                 	0                 	18          	0                 	0           	1                 	1                 	
0.019         	19        	0.001         	19                	0                 	0                 	19          	0                 	0           	1                 	1                 	
0.02          	20        	0.001         	20                	0                 	0                 	20          	0                 	0           	1                 	1                 	
0.021         	21        	0.001         	21                	0                 	0                 	21          	0                 	0           	1                 	1                 	
0.022         	22        	0.001         	22                	0                 	0                 	22          	0                 	0           	1                 	1                 	
0.023         	23        	0.001         	23                	0                 	0                 	23          	0                 	0           	1                 	1                 	
0.024         	24        	0.001         	24                	0                 	0                 	24          	0                 	0           	1                 	1                 	
0.025         	25        	0.001         	25                	0                 	0                 	25          	0                 	0           	1                 	1                 	
0.026         	26        	0.001         	26                	0                 	0                 	26          	0                 	0           	1                 	1                 	
0.027         	27        	0.001         	27                	0                 	0                 	27          	0                 	0           	1                 	1                 	
0.028         	28        	0.001         	28                	0                 	0                 	28          	0                 	0           	1                 	1                 	
0.029         	29        	0.001         	29                	0                 	0                 	29          	0                 	0           	1                 	1                 	
0.03          	30        	0.001         	30                	0                 	0                 	30          	0                 	0           	1                 	1                 	
0.031         	31        	0.001         	31                	0                 	0                 	31          	0                 	0           	1                 	1                 	
0.032         	32        	0.001         	32                	0                 	0                 	32          	0                 	0           	1                 	1                 	
0.033         	33        	0.001         	33                	0                 	0                 	33          	0                 	0           	1                 	1                 	
0.034         	34        	0.001         	34                	0                 	0                 	34          	0                 	0           	1                 	1                 	
0.035         	35        	0.001         	35                	0                 	0                 	35          	0                 	0           	1                 	1                 	
0.036         	36        	0.001         	36                	0                 	0                 	36          	0                 	0           	1                 	1                 	
0.037         	37        	0.001         	37                	0                 	0                 	37          	0                 	0           	1                 	1                 	
0.038         	38        	0.001         	38                	0                 	0                 	38          	0                 	0           	1                 	1                 	
0.039         	39        	0.001         	39                	0                 	0                 	39          	0                 	0           	1                 	1                 	
0.04          	40        	0.001         	40                	0                 	0                 	40          	0                 	0           	1                 	1                 	
0.041         	41        	0.001         	41                	0                 	0                 	41          	0                 	0           	1                 	1                 	
0.042         	42        	0.001         	42                	0                 	0                 	42          	0                 	0           	1                 	1                 	
0.043         	43        	0.001         	43                	0                 	0                 	43          	0                 	0           	1                 	1                 	
0.044         	44        	0.001         	44                	0                 	0                 	44          	0                 	0           	1                 	1                 	
0.045         	45        	0.001         	45                	0                 	0                 	45          	0                 	0           	1                 	1                 	
0.046         	46        	0.001         	46                	0                 	0                 	46          	0                 	0           	1                 	1                 	
0.047         	47        	0.001         	47                	0                 	0                 	47          	0                 	0           	1                 	1                 	
0.048         	48        	0.001         	48                	0                 	0                 	48          	0                 	0           	1                 	1                 	
0.049         	49        	0.001         	49                	0                 	0                 	49          	0                 	0           	1                 	1                 	
0.05          	50        	0.001         	50                	0                 	0                 	50          	0                 	0           	1                 	1                 	
0.051         	51        	0.001         	51                	0                 	0                 	51          	0                 	0           	1                 	1                 	
0.052         	52        	0.001         	52                	0                 	0                 	52          	0                 	0           	1                 	1                 	
0.053         	53        	0.001         	53                	0                 	0                 	53          	0                 	0           	1                 	1                 	
0.054         	54        	0.001         	54                	0                 	0                 	54          	0                 	0           	1                 	1                 	
0.055         	55        	0.001         	55                	0                 	0                 	55          	0                 	0           	1                 	1                 	
0.056         	56        	0.001         	56                	0                 	0                 	56          	0                 	0           	1                 	1                 	
0.057         	57        	0.001         	57                	0                 	0                 	57          	0                 	0           	1                 	1                 	
0.058         	58        	0.001         	58                	0                 	0                 	58          	0                 	0           	1                 	1                 	
0.059         	59        	0.001         	59                	0                 	0                 	59          	0                 	0           	1                 	1                 	
0.06          	60        	0.001         	60                	0                 	0                 	60          	0                 	0           	1                 	1                 	
0.061         	61        	0.001         	61                	0                 	0                 	61          	0                 	0           	1                 	1                 	
0.062         	62        	0.001         	62                	0                 	0                 	62          	0                 	0           	1                 	1                 	
0.063         	63        	0.001         	63                	0                 	0                 	63          	0                 	0           	1                 	1                 	
0.064         	64        	0.001         	64                	0                 	0                 	64          	0                 	0           	1                 	1                 	
0.065         	65        	0.001         	65                	0                 	0                 	65          	0                 	0           	1                 	1                 	
0.066         	66        	0.001         	66                	0                 	0                 	66          	0                 	0           	1                 	1                 	
0.067         	67        	0.001         	67                	0                 	0                 	67          	0                 	0           	1                 	1                 	
0.068         	68        	0.001         	68                	0                 	0                 	68          	0                 	0           	1                 	1                 	
0.069         	69        	0.001         	69                	0                 	0                 	69          	0                 	0           	1                 	1                 	
0.07          	70        	0.001         	70                	0                 	0                 	70          	0                 	0           	1                 	1                 	
0.071         	71        	0.001         	71                	0                 	0                 	71          	0                 	0           	1                 	1                 	
0.072         	72        	0.001         	72                	0                 	0                 	72          	0                 	0           	1                 	1                 	
0.073         	73        	0.001         	73                	0                 	0                 	73          	0                 	0           	1                 	1                 	
0.074         	74        	0.001         	74                	0                 	0                 	74          	0                 	0           	1                 	1                 	
0.075         	75        	0.001         	75                	0                 	0                 	75          	0                 	0           	1                 	1                 	
0.076         	76        	0.001         	76                	0                 	0                 	76          	0                 	0           	1                 	1                 	
0.077         	77        	0.001         	77                	0                 	0                 	77          	0                 	0           	1                 	1                 	
0.078         	78        	0.001         	78                	0                 	0                 	78          	0                 	0           	1                 	1                 	
0.079         	79        	0.001         	79                	0                 	0                 	79          	0                 	0           	1                 	1                 	
0.08          	80        	0.001         	80                	0                 	0                 	80          	0                 	0           	1                 	1                 	
0.081         	81        	0.001         	81                	0                 	0                 	81          	0                 	0           	1                 	1                 	
0.082         	82        	0.001         	82                	0                 	0                 	82          	0                 	0           	1                 	1                 	
0.083         	83        	0.001         	83                	0                 	0                 	83          	0                 	0           	1                 	1                 	
0.084         	84        	0.001         	84                	0                 	0                 	84          	0                 	0           	1                 	1                 	
0.085         	85        	0.001         	85                	0                 	0                 	85          	0                 	0           	1                 	1                 	
0.086         	86        	0.001         	86                	0                 	0                 	86          	0                 	0           	1                 	1                 	
0.087         	87        	0.001         	87                	0                 	0                 	87          	0                 	0           	1                 	1                 	
0.088         	88        	0.001         	88                	0                 	0                 	88          	0                 	0           	1                 	1                 	
0.089         	89        	0.001         	89                	0                 	0                 	89          	0                 	0           	1                 	1                 	
0.09          	90        	0.001         	90                	0                 	0                 	90          	0                 	0           	1                 	1                 	
0.091         	91        	0.001         	91                	0                 	0                 	91          	0                 	0           	1                 	1                 	
0.092         	92        	0.001         	92                	0                 	0                 	92          	0                 	0           	1                 	1                 	
0.093         	93        	0.001         	93                	0                 	0                 	93          	0                 	0           	1                 	1                 	
0.094         	94        	0.001         	94                	0                 	0                 	94          	0                 	0           	1                 	1                 	
0.095         	95        	0.001         	95                	0                 	0                 	95          	0                 	0           	1                 	1                 	
0.096         	96        	0.001         	96                	0                 	0                 	96          	0                 	0           	1                 	1                 	
0.097         	97        	0.001         	97                	0                 	0                 	97          	0                 	0           	1                 	1                 	
0.098         	98        	0.001         	98                	0                 	0                 	98          	0                 	0           	1                 	1                 	
0.099         	99        	0.001         	99                	0                 	0                 	99          	0                 	0           	1                 	1                 	
0.1           	100       	0.001         	100               	0                 	0                 	100         	0                 	0           	1                 	1                 	
0.101         	101       	0.001         	101               	0                 	0                 	101         	0                 	0           	1                 	1                 	
0.102         	102       	0.001         	102               	0                 	0                 	102         	0                 	0           	1                 	1                 	
0.103         	103       	0.001         	103               	0                 	0                 	103         	0                 	0           	1                 	1                 	
0.104         	104       	0.001         	104               	0                 	0                 	104         	0                 	0           	1                 	1                 	
0.105         	105       	0.001         	105               	0                 	0                 	105         	0                 	0           	1                 	1                 	
0.106         	106       	0.001         	106               	0                 	0                 	106         	0                 	0           	1                 	1                 	
0.107         	107       	0.001         	107               	0                 	0                 	107         	0                 	0           	1                 	1                 	
0.108         	108       	0.001         	108               	0                 	0                 	108         	0                 	0           	1                 	1                 	
0.109         	109       	0.001         	109               	0                 	0                 	109         	0                 	0           	1                 	1                 	
0.11          	110       	0.001         	110               	0                 	0                 	110         	0                 	0           	1                 	1                 	
0.111         	111       	0.001         	111               	0                 	0                 	111         	0                 	0           	1                 	1                 	
0.112         	112       	0.001         	112               	0                 	0                 	112         	0                 	0           	1                 	1                 	
0.113         	113       	0.001         	113               	0                 	0                 	113         	0                 	0           	1                 	1                 	
0.114         	114       	0.001         	114               	0                 	0                 	114         	0                 	0           	1                 	1                 	
0.115         	115       	0.001         	115               	0                 	0                 	115         	0                 	0           	1                 	1                 	
0.116         	116       	0.001         	116               	0                 	0                 	116         	0                 	0           	1                 	1                 	
0.117         	117       	0.001         	117               	0                 	0                 	117         	0                 	0           	1                 	1                 	
0.118         	118       	0.001         	118               	0                 	0                 	118         	0                 	0           	1                 	1                 	
0.119         	119       	0.001         	119               	0                 	0                 	119         	0                 	0           	1                 	1                 	
0.12          	120       	0.001         	120               	0                 	0                 	120         	0                 	0           	1                 	1                 	
0.121         	121       	0.001         	121               	0                 	0                 	121         	0                 	0           	1                 	1                 	
0.122         	122       	0.001         	122               	0                 	0                 	122         	0                 	0           	1                 	1                 	
0.123         	123       	0.001         	123               	0                 	0                 	123         	0                 	0           	1                 	1                 	
0.124         	124       	0.001         	124               	0                 	0                 	124         	0                 	0           	1                 	1                 	
0.125         	125       	0.001         	125               	0                 	0                 	125         	0                 	0           	1                 	1                 	
0.126         	126       	0.001         	126               	0                 	0                 	126         	0                 	0           	1                 	1                 	
0.127         	127       	0.001         	127               	0                 	0                 	127         	0                 	0           	1                 	1                 	
0.128         	128       	0.001         	128               	0                 	0                 	128         	0                 	0           	1                 	1                 	
0.129         	129       	0.001         	129               	0                 	0                 	129         	0                 	0           	1                 	1                 	
0.13          	130       	0.001         	130               	0                 	0                 	130         	0                 	0           	1                 	1                 	
0.131         	131       	0.001         	131               	0                 	0                 	131         	0                 	0           	1                 	1                 	
0.132         	132       	0.001         	132               	0                 	0                 	132         	0                 	0           	1                 	1                 	
0.133         	133       	0.001         	133               	0                 	0                 	133         	0                 	0           	1                 	1                 	
0.134         	134       	0.001         	134               	0                 	0                 	134         	0                 	0           	1                 	1                 	
0.135         	135       	0.001         	135               	0                 	0                 	135         	0                 	0           	1                 	1                 	
0.136         	136       	0.001         	136               	0                 	0                 	136         	0                 	0           	1                 	1                 	
0.137         	137       	0.001         	137               	0                 	0                 	137         	0                 	0           	1                 	1                 	
0.138         	138       	0.001         	138               	0                 	0                 	138         	0                 	0           	1                 	1                 	
0.139         	139       	0.001         	139               	0                 	0                 	139         	0                 	0           	1                 	1                 	
0.14          	140       	0.001         	140               	0                 	0                 	140         	0                 	0           	1                 	1                 	
0.141         	141       	0.001         	141               	0                 	0                 	141         	0                 	0           	1                 	1                 	
